country,created_at,lat,lng,text,user_followers_count,user_location
,Thu Aug 03 21:11:10 +0000 2017,-21.6824831,-51.0741711,jorge luis borges: o eterno defensor da leitura https://t.co/giMZOQTYAq via @obvious,,"Adamantina, São Paulo"
,Thu Aug 03 21:15:43 +0000 2017,-34.6389789,-58.500115,"RT @elparaguayo123: ""La ley del duende, el que lo arma lo prende"" Jorge Luis Borges",,Villa Luro
,Thu Aug 03 21:25:06 +0000 2017,-4.4420385,-61.3268535,100 cuentos de Julio Cortázar y Jorge Luis Borges https://t.co/OCJXG4ebGq,,Latinoamérica
,Thu Aug 03 21:28:06 +0000 2017,19.7059504,-101.1949825,RT @LiteraturayMas_: Todo ser humano tiene la obligación de ser feliz aunque sea por orgullo. Jorge Luis Borges https://t.co/2OFsuBjPh3,,Morelia
,Thu Aug 03 21:28:13 +0000 2017,4.570868,-74.297333,"RT @Felipepoet: Poema ""El cómplice"" de Jorge Luis Borges. https://t.co/Sl89iaZZBV",,Colombia
,Thu Aug 03 21:33:50 +0000 2017,-27.4257175,-59.0243784,"RT @elparaguayo123: ""La ley del duende, el que lo arma lo prende"" Jorge Luis Borges",,"Chaco, Argentina"
,Thu Aug 03 21:35:05 +0000 2017,10.4805937,-66.9036063,100 cuentos de Julio Cortázar y Jorge Luis Borges https://t.co/xjBsejfMbE,,Caracas
,Thu Aug 03 21:40:05 +0000 2017,13.794185,-88.89653,"Uno no es lo que es por lo que escribe, sino por lo que ha leído.-Jorge Luis Borges.",,El Salvador
,Thu Aug 03 21:40:10 +0000 2017,-4.4420385,-61.3268535,100 cuentos de Julio Cortázar y Jorge Luis Borges https://t.co/6yAj6mdz65,,Latinoamérica
,Thu Aug 03 21:43:57 +0000 2017,16.7516009,-93.1029939,"POEMA A UN AMIGO - Jorge Luis Borges - No puedo darte soluciones para todos los problemas de la vida, ni... https://t.co/e1hwN0YAlw",,"Tuxtla Gutiérrez, Chiapas"
,Thu Aug 03 21:45:20 +0000 2017,-2.1709979,-79.9223592,"RT @RobertoBonafont: “Uno no es lo que es por lo que escribe, sino por lo que ha leído”. Jorge Luis Borges.",,"Ecuador, guayaquil"
,Thu Aug 03 21:56:02 +0000 2017,42.8591338,-2.6818614,"RT @noveliciouss: #Poetry springs from something deeper; it’s beyond #intelligence.
—Jorge Luis #Borges
#writing #film https://t.co/pFY1ADs…",,Vitoria-Gasteiz
,Thu Aug 03 21:57:55 +0000 2017,40.4172871,-82.907123,RT @LiteraturayMas_: Todo ser humano tiene la obligación de ser feliz aunque sea por orgullo. Jorge Luis Borges https://t.co/2OFsuBjPh3,,"Ohio, USA"
,Thu Aug 03 21:59:58 +0000 2017,-34.6036844,-58.3815591,"RT @elparaguayo123: ""La ley del duende, el que lo arma lo prende"" Jorge Luis Borges",,"Buenos Aires, Argentina"
,Thu Aug 03 22:00:37 +0000 2017,6.42375,-66.58973,100 cuentos de Julio Cortázar y Jorge Luis Borges https://t.co/iuSz6hydvr,,Venezuela
,Thu Aug 03 22:03:05 +0000 2017,23.634501,-102.552784,RT @LiteraturayMas_: Todo ser humano tiene la obligación de ser feliz aunque sea por orgullo. Jorge Luis Borges https://t.co/2OFsuBjPh3,,Mexico
,Thu Aug 03 22:03:32 +0000 2017,47.162494,19.503304,Life itself is a quotation.                                                    - Jorge Luis Borges,,Hungary
,Thu Aug 03 22:07:07 +0000 2017,-23.5505199,-46.6333094,"""Uno planta su propio jardín y decora su propia alma"" Jorge Luis Borges 🌷 https://t.co/2B8tFlq45R",,"São Paulo, Brasil"
,Thu Aug 03 22:08:17 +0000 2017,-5.0920108,-42.8037597,"RT @CartasParaBreco: ""Uno planta su propio jardín y decora su propia alma"" Jorge Luis Borges 🌷 https://t.co/2B8tFlq45R",,"Teresina, Brasil"
,Thu Aug 03 22:08:46 +0000 2017,36.1626638,-86.7816016,"RT @noveliciouss: #Poetry springs from something deeper; it’s beyond #intelligence.
—Jorge Luis #Borges
#writing #film https://t.co/pFY1ADs…",,"Nashville, Tennessee"
,Thu Aug 03 22:20:14 +0000 2017,4.570868,-74.297333,"@mariapferndez Cordial saludo Dra. veo gusta la buena literatura, le recomiendo este de Borges, EL INMORTAL https://t.co/zQMdmDOrOd",,Colombia
,Thu Aug 03 22:24:20 +0000 2017,10.4805937,-66.9036063,RT @LiteraturayMas_: Todo ser humano tiene la obligación de ser feliz aunque sea por orgullo. Jorge Luis Borges https://t.co/2OFsuBjPh3,,"Caracas, Venezuela"
,Thu Aug 03 22:28:32 +0000 2017,18.9242095,-99.2215659,Hace unos días acabé Cuetos memorables según Jorge Luis Borges. Muy buena antología. Pura joya. https://t.co/ozVa9pvvXE,,"Cuernavaca, Mor."
,Thu Aug 03 22:34:15 +0000 2017,18.4605291,-69.9127411,Jorge Luis Borges responde: ¿Qué es lo que más importa en un cuento y en una novela? https://t.co/i61FUFuIxS,,"Santo Domingo, 24 de julio"
,Thu Aug 03 22:35:35 +0000 2017,23.634501,-102.552784,https://t.co/cpWAHk8bXU,,MEXICO
,Thu Aug 03 22:39:36 +0000 2017,-33.4488897,-70.6692655,"""La lectura es una de las formas de la felicidad, pero  a nadie se le puede obligar a ser feliz"". Jorge Luis Borges https://t.co/kJ9fRvd7oE",,"Santiago, Chile"
,Thu Aug 03 22:43:23 +0000 2017,51.5073509,-0.1277583,"Retweeted Borges, Jorge Luis (@BorgesJorgeL):

El destino, tal es el nombre que aplicamos a la infinita operación... https://t.co/cQkZnzmHW1",,"London, England"
,Thu Aug 03 22:49:36 +0000 2017,55.378051,-3.435973,"RT @noveliciouss: #Poetry springs from something deeper; it’s beyond #intelligence.
—Jorge Luis #Borges
#writing #film https://t.co/pFY1ADs…",,U.K