,country,created_at,lat,lng,text,user_followers_count,user_location,user_screen_name
0,Argentina,Sun Aug 13 13:49:44 +0000 2017,-38.416097,-63.616672,"El libro que está de moda entre los chicos de la Santa Cruz de Alicia Kirchner.
Comprálo que se agota!
#PASO2017… https://t.co/7bpZOganTz",3943.0,argentina,
1,Argentina,Sun Aug 13 13:49:47 +0000 2017,-38.416097,-63.616672,"RT @kiwiportuario: Básicamente, la Política es Hacer y Predicar con el Ejemplo.&gt;&gt;LOS KIRCHNER HOY NO VOTAN&lt;&lt;No están Aptos para LIDERAR nad…",485.0,Argentina,
2,United States,Sun Aug 13 13:49:49 +0000 2017,37.402091,-121.955066,"RT @2016PPT: Vota Alicia Kirchner, con los jubilados que no cobran y sin empezar las clases.. hermosa cara de piedra 😡😡😡#PASO2017",402.0,Bella vista,
3,Argentina,Sun Aug 13 13:49:52 +0000 2017,-50.337969,-72.2647982,Voto Alicia Kirchner,877.0,El calafate,
4,Argentina,Sun Aug 13 13:49:57 +0000 2017,-34.6036844,-58.3815591,Unos cuantos votos menos para la tía Alicia https://t.co/tTNSPCr0fC,1367.0,"Buenos Aires, Argentina",
5,United States,Sun Aug 13 13:50:01 +0000 2017,35.2784173,-93.1337856,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,55.0,"Russellville
",
6,Argentina,Sun Aug 13 13:50:02 +0000 2017,-32.9442426,-60.6505388,RT @LuisGasulla: El viernes anticipe q Cristina Kirchner no votaría.Hoy estará en todos los portales. No puede pisar Santa Cruz pero en Bs…,445.0,Rosario,
7,Argentina,Sun Aug 13 13:50:02 +0000 2017,-38.416097,-63.616672,"RT @nachomdeo: El ""cuadro político mas importante de los últimos años"" no pudo prever siquiera llegar a votar. Así nos llevaba. 
https://t.…",608.0,Argentina,
8,United States,Sun Aug 13 13:50:03 +0000 2017,44.9409672,-123.0388835,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,53.0,"Aringo
",
9,Austria,Sun Aug 13 13:50:03 +0000 2017,47.782,13.22168,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,87.0,"Lidaun
",
10,United States,Sun Aug 13 13:50:04 +0000 2017,33.8785996,-83.9881281,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,52.0,"Pinnella Pass 
",
11,Democratic Republic of the Congo,Sun Aug 13 13:50:04 +0000 2017,-1.0301189,27.3087578,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,72.0,"Mondini
",
12,United Kingdom,Sun Aug 13 13:50:05 +0000 2017,52.0450779,0.952647,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,42.0,"Haedleigh
",
13,Norway,Sun Aug 13 13:50:06 +0000 2017,60.3912628,5.3220544,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,59.0,"Bergen
",
14,United States,Sun Aug 13 13:50:07 +0000 2017,37.944251,-86.036631,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,106.0,"Otter Creek
",
15,United States,Sun Aug 13 13:50:07 +0000 2017,40.892162,-111.881163,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,43.0,"Russon
",
16,United States,Sun Aug 13 13:50:08 +0000 2017,38.6559441,-90.3064304,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,36.0,"Commerce
",
17,Argentina,Sun Aug 13 13:50:08 +0000 2017,-38.416097,-63.616672,RT @PicadoFinoTN: Archivo inédito: Néstor Kirchner era gobernador y ya no respondía por el destino de los Fondos de Santa Cruz. Impac… ,1831.0,Argentina,
18,India,Sun Aug 13 13:50:09 +0000 2017,25.4913872,75.7822057,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,54.0,"Akher
",
19,South Africa,Sun Aug 13 13:50:09 +0000 2017,-27.7138429,29.9971769,"RT @nachomdeo: Fuera de joda. ¿Se entiende que así evita votar en la ciudad en la que el kirchnerismo hizo los mayores estragos?
https://t.…",203.0,"Newcastle, Kwazulu-Natal",
20,Argentina,Sun Aug 13 13:50:09 +0000 2017,-34.886916,-58.001418,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,87.0,"Peara
",
21,Italy,Sun Aug 13 13:50:10 +0000 2017,45.918257,9.101466,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,52.0,"Schignano
",
22,United States,Sun Aug 13 13:50:11 +0000 2017,38.6800181,-93.092979,RT @BeltwayPundit: #Kirchner back as #Argentina names key #vote contenders... https://t.co/BZ3xsFYxk1,45.0,"Smithton
",
23,India,Sun Aug 13 13:50:11 +0000 2017,10.9437645,76.9332019,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,87.0,"Bindughosh
",
24,Dominican Republic,Sun Aug 13 13:50:12 +0000 2017,18.735693,-70.162651,Argentina mide en unas primarias el regreso de Kirchner frente a Macri https://t.co/aH3ltZ5hxM,119.0,republica dominicano,
25,United States,Sun Aug 13 13:50:13 +0000 2017,39.9023165,-84.1481632,RT @_drudgereport_: #Kirchner back as #Argentina names key #vote contenders... https://t.co/JDAicI7qMT,33.0,"Aerilon 
",
26,Argentina,Sun Aug 13 13:50:13 +0000 2017,-34.6036844,-58.3815591,"RT @sebakatz: Primera vez que abren en el año las escuelas en Santa Cruz, la provincia que manejan los Kirchner desde 1991.",172.0,Bs.As. - Argentina,
27,Argentina,Sun Aug 13 13:50:20 +0000 2017,-50.337969,-72.2647982,Voto Alicia Kirchner https://t.co/bQS3R3EKgL,877.0,El calafate,
28,Argentina,Sun Aug 13 13:50:22 +0000 2017,-34.6036844,-58.3815591,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",172.0,Bs.As. - Argentina,
29,Argentina,Sun Aug 13 13:50:26 +0000 2017,-38.416097,-63.616672,RT @LuisGasulla: El viernes anticipe q Cristina Kirchner no votaría.Hoy estará en todos los portales. No puede pisar Santa Cruz pero en Bs…,1619.0,Argentina,
30,Argentina,Sun Aug 13 13:50:27 +0000 2017,-32.9442426,-60.6505388,"RT @GustavoBruzone: Mienten, CFK NO viaja a Santa Cruz porque la esperaban para escracharla! https://t.co/R01PgnI9SS",662.0,"Rosario, Argentina",
31,United States,Sun Aug 13 13:50:28 +0000 2017,41.8780025,-93.097702,Kirchner back as Argentina names key vote contenders... https://t.co/9a488BTWi5 -DRUDGE_REPORT,3507.0,"Iowa, USA",
32,Argentina,Sun Aug 13 13:50:29 +0000 2017,-27.4257175,-59.0243784,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",513.0,"Chaco, Argentina",
33,Argentina,Sun Aug 13 13:50:29 +0000 2017,-31.4200833,-64.1887761,RT @pulsionparcial: En Santa Cruz abren una escuela para que vote Alicia Kirchner y después la vuelven a cerrar.,984.0,"Córdoba, Argentina",
34,Argentina,Sun Aug 13 13:50:29 +0000 2017,-38.416097,-63.616672,RT @MAD_en_Twitt: CRISTINA KIRCHNER NO FUE A VOTAR... https://t.co/07fMsEcQ9O,377.0,Argentina,
35,Argentina,Sun Aug 13 13:50:31 +0000 2017,-34.7206336,-58.2546051,RT @EMeraviglia: El operativo apriete a los Kirchner por parte de la Corpo temo que se extienda hasta los tataranietos de Iván. Vivimos en…,968.0,Quilmes,
36,Argentina,Sun Aug 13 13:50:34 +0000 2017,-34.6036844,-58.3815591,"RT @_transport: Provincia fundida y prendida fuego.
Con razón es la primera vez desde 1991 que no hay apellido Kirchner en las boletas de S…",1687.0,Bs As,
37,Argentina,Sun Aug 13 13:50:35 +0000 2017,-34.6036844,-58.3815591,"RT @SariBarcos: #Decisión2017: Voto Alicia Kirchner la gente la mira con un odio. Velorio. Voto Maria Eugenia la gente llora, la besa.Alegr…",161.0,Buenos Aires,
38,Argentina,Sun Aug 13 13:50:37 +0000 2017,-38.416097,-63.616672,RT @MABArrigo: Es mucho mas preocupante e inentendible ese 34% que ella. Alguno puede ser que no llegue a darse cuenta. Y el resto… ,121.0,Argentina,
39,Argentina,Sun Aug 13 13:50:41 +0000 2017,-34.8714241,-57.8816335,"RT @GustavoBruzone: SANTA CRUZ: Abucheos, silbidos e insultos a A. Kirchner al momento de votar!

Cosecharan lo que sembraron

#NoVuelvenMá…",211.0,en algun lugar,
40,United States,Sun Aug 13 13:50:41 +0000 2017,37.09024,-95.712891,DRUDGE_REPORT: Kirchner back as Argentina names key vote contenders... https://t.co/6LDzdjBzm0 #ycot #tcot #pjnet #conservative,1352.0,United States,
41,Argentina,Sun Aug 13 13:50:45 +0000 2017,-34.5620844,-58.4566864,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",533.0,Belgrano - CABA - Argentina,
42,Argentina,Sun Aug 13 13:50:50 +0000 2017,-34.6036844,-58.3815591,RT @Abogada1949: VERGUENZA LA FLIA KIRCHNER NO PUEDE IR A VOTAR A SU PCIA!!!Eso.Porque no pueden enfrentar el escarcha público al que estar…,902.0,"C.A.B.A , Argentina",
43,Argentina,Sun Aug 13 13:50:52 +0000 2017,-38.416097,-63.616672,RT @pulsionparcial: En Santa Cruz abren una escuela para que vote Alicia Kirchner y después la vuelven a cerrar.,659.0,Argentina,
44,Argentina,Sun Aug 13 13:50:52 +0000 2017,-38.416097,-63.616672,"RT @sebakatz: Primera vez que abren en el año las escuelas en Santa Cruz, la provincia que manejan los Kirchner desde 1991.",640.0,Argentina,
45,Argentina,Sun Aug 13 13:51:01 +0000 2017,-34.6036844,-58.3815591,RT @LuisGasulla: El viernes anticipe q Cristina Kirchner no votaría.Hoy estará en todos los portales. No puede pisar Santa Cruz pero en Bs…,172.0,Bs.As. - Argentina,
46,Argentina,Sun Aug 13 13:51:12 +0000 2017,-38.416097,-63.616672,"Cristina Kirchner, ""rebelde"" desde pequeña - El Destape https://t.co/OiB4MHC51O",3393.0,Argentina,
47,Mexico,Sun Aug 13 13:51:12 +0000 2017,21.149465,-101.691545,"RT @albertodefazio: Un apellido seguro te llamará la atención:

Pitrola
Massa
Bullrich Zorraquin Ocampo Alvear.
Kirchner.
Randazzo

Si ese,…",1070.0,Planeta Tieya,
48,Argentina,Sun Aug 13 13:51:13 +0000 2017,-38.416097,-63.616672,Elecciones PASO 2017: el partido de Cristina Kirchner denunció ... - LA NACION (Argentina) https://t.co/LVg2UjEq7F,3393.0,Argentina,
49,Argentina,Sun Aug 13 13:51:14 +0000 2017,-38.416097,-63.616672,"PASO 2017: En silencio, Alicia Kirchner votó en la misma mesa en la que deberían haber votado Máximo y Florencia https://t.co/q3L1A7FvSW",3393.0,Argentina,
50,Argentina,Sun Aug 13 13:51:20 +0000 2017,-34.6036844,-58.3815591,"RT @infobae: Por problemas logísticos, Cristina Kirchner no votará mañana
https://t.co/CB9fKr9wmF https://t.co/0MVx4zbjOa",4.0,Ciudad Autónoma de Buenos Aire,
51,Venezuela,Sun Aug 13 13:51:24 +0000 2017,10.4805937,-66.9036063,VENEZUELA: Argentina mide en primarias legislativas regreso de Kirchner frente a Macri https://t.co/kVhHwGwjyG entornoi,860.0,"Caracas, Venezuela",
52,Argentina,Sun Aug 13 13:51:25 +0000 2017,-34.6036844,-58.3815591,"RT @Frondizista: Así actuaba Kirchner con los periodistas que le hacían preguntas, como el dueño de la pelota, el matón del barrio.  https:…",1928.0,"Buenos Aires,Argentina ",
53,Argentina,Sun Aug 13 13:51:26 +0000 2017,-38.416097,-63.616672,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",347.0,Argentina,
54,Argentina,Sun Aug 13 13:51:34 +0000 2017,-32.8894587,-68.8458386,RT @LuisGasulla: El viernes anticipe q Cristina Kirchner no votaría.Hoy estará en todos los portales. No puede pisar Santa Cruz pero en Bs…,76.0,"Mendoza, Argentina",
55,Argentina,Sun Aug 13 13:51:35 +0000 2017,-34.6036844,-58.3815591,Letra_P: #PASO2017 | Votó Alicia Kirchner en medio de un fuerte operativo de seguridad https://t.co/YL1djJH6Yg,5110.0,"Buenos Aires, Argentina ",
56,Argentina,Sun Aug 13 13:51:37 +0000 2017,-34.6036844,-58.3815591,"RT @clarincom: AHORA | Votó Alicia Kirchner en Río Gallegos: ""Llevamos 34 años de democracia, esto hay que valorarlo en toda su ma… ",898.0,Ciudad Autónoma de Buenos Aire,
57,Argentina,Sun Aug 13 13:51:37 +0000 2017,-26.8082848,-65.2175903,"RT @todonoticias: EN VIVO - Votan Vidal, Florencio Randazzo y Alicia Kirchner #Decision2017  https://t.co/2JLP7R4gg0 https://t.co/u0xPveHiSH",147.0,en  Tucuman . Argentina,
58,Argentina,Sun Aug 13 13:51:38 +0000 2017,-33.044522,-61.1650211,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",1251.0,"Casilda, Argentina",
59,Ecuador,Sun Aug 13 13:51:39 +0000 2017,-2.1709979,-79.9223592,RT @PicadoFinoTN: Archivo inédito: Néstor Kirchner era gobernador y ya no respondía por el destino de los Fondos de Santa Cruz. Impac… ,158.0,"Guayaquil, Ecuador",
60,Argentina,Sun Aug 13 13:51:40 +0000 2017,-27.3621374,-55.9008746,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",650.0,"Posadas, Argentina",
61,Chile,Sun Aug 13 13:51:45 +0000 2017,-33.4797512,-70.7364885,"RT @andahazi: Siempre tan democrática y apegada a la Ley. Alguien que le recuerde que es obligatorio votar.
https://t.co/DLXMpmHYlP",156.0,ConGo BelgA,
62,Argentina,Sun Aug 13 13:51:55 +0000 2017,-43.2934246,-65.1114818,RT @todonoticias: Las PASO marcan el pulso del apoyo al Gobierno y el futuro de Cristina Kirchner https://t.co/JiZjRM3RE8 https://t.co/D5K5…,3.0,"Chubut, Argentina",
63,Argentina,Sun Aug 13 13:52:00 +0000 2017,-38.416097,-63.616672,"RT @andahazi: Siempre tan democrática y apegada a la Ley. Alguien que le recuerde que es obligatorio votar.
https://t.co/DLXMpmHYlP",726.0,Argentina,
64,Argentina,Sun Aug 13 13:52:01 +0000 2017,-24.7821269,-65.4231976,"RT @2016PPT: Vota Alicia Kirchner, con los jubilados que no cobran y sin empezar las clases.. hermosa cara de piedra 😡😡😡#PASO2017",147.0,Salta- Argentina,
65,Argentina,Sun Aug 13 13:52:02 +0000 2017,-24.7821269,-65.4231976,"RT @edufeiok: De que se ríe Alicia Kirchner ? Tiene una provincia incendiada, sin educación, sin justicia, y jubilados q no cobran https://…",101.0,Salta,
66,Argentina,Sun Aug 13 13:52:03 +0000 2017,-31.6106578,-60.697294,RT @pulsionparcial: En Santa Cruz abren una escuela para que vote Alicia Kirchner y después la vuelven a cerrar.,235.0,"Santa Fé, Argentina",
67,Argentina,Sun Aug 13 13:52:05 +0000 2017,-43.2934246,-65.1114818,RT @todonoticias: Cristina Kirchner se quedará en Buenos Aires y no votará en las PASO https://t.co/dOMh3TauhP https://t.co/CP750xFtEt,3.0,"Chubut, Argentina",
68,United States,Sun Aug 13 13:52:06 +0000 2017,35.565459,-82.541465,"PASO 2017: En silencio, Alicia Kirchner votó en la misma mesa en la que deberían haber votado Máximo y Florencia https://t.co/zzIqDUWYi9",5624.0,World,
69,Argentina,Sun Aug 13 13:52:07 +0000 2017,-34.6036844,-58.3815591,Elecciones PASO 2017: el partido de Cristina Kirchner denunció que el Correo no envió sus boletas a varias escuelas https://t.co/V0QIvQiog4,5110.0,"Buenos Aires, Argentina ",
70,Argentina,Sun Aug 13 13:52:10 +0000 2017,-34.6036844,-58.3815591,"RT @periodista360: Cristina Kirchner, la candidata que no votará en las PASO https://t.co/18HVbjEBIF https://t.co/LPSxselEWc",17.0,Ciudad Autónoma de Buenos Aire,
71,Argentina,Sun Aug 13 13:52:13 +0000 2017,-34.6036844,-58.3815591,"PASO 2017: En silencio, Alicia Kirchner votó en la misma mesa en la que deberían haber votado Máximo y Florencia… https://t.co/jO2cK2b8tm",2658882.0,"Buenos Aires, Argentina",
72,Argentina,Sun Aug 13 13:52:13 +0000 2017,-34.6036844,-58.3815591,"PASO 2017: En silencio, Alicia Kirchner votó en la misma mesa en la que deberían haber votado Máximo y Florencia… https://t.co/pCaA3i84cl",26900.0,"Buenos Aires, Argentina",
73,Argentina,Sun Aug 13 13:52:14 +0000 2017,-38.416097,-63.616672,"RT @marcelopuella: Las ambiciones de Cambiemos. La centralidad de Cristina Kirchner. Los gobernadores peronistas, sus jugadas.",965.0,Argentina,
74,Argentina,Sun Aug 13 13:52:20 +0000 2017,-38.416097,-63.616672,"Cristina Kirchner, ""rebelde"" desde pequeña - El Destape https://t.co/oEv5xNM8DI https://t.co/KJ6T9VgOTS",2761.0,Argentina,